gene_callers_id	chrom_start	chrom_end	COG_accession	COG_function	KO_accession	KEGG_function
214	243515	244454	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
215	244637	245543	COG2175	Taurine dioxygenase, alpha-ketoglutarate-dependent (TauD) (PDB:1DRT)	K22303	alkyl sulfatase [EC:1.14.11.77]
216	245701	247318	COG3119	Arylsulfatase A or related enzyme, AlkP superfamily (AslA) (PDB:1E1Z)		
217	247559	248504	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
218	248658	251031	COG1629	Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)	K02014	iron complex outermembrane recepter protein
219	251097	252435	COG3118	Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family (CnoX) (PDB:3QDN) (PUBMED:21498507;29754824)	K01023	arylsulfate sulfotransferase [EC:2.8.2.22]
220	252498	252840				
221	252836	253265				
222	253369	254041				
223	254116	254332	COG3655	DNA-binding transcriptional regulator, XRE family (YozG) (PDB:3TYR)	K07727	putative transcriptional regulator
224	254341	254920				
225	255460	255937				
226	256087	257293	COG2807	Cyanate permease (CynX)	K03449	MFS transporter, CP family, cyanate transporter
227	257279	257741	COG0590	tRNA(Arg) A34 adenosine deaminase TadA (TadA) (PDB:2A8N)		
228	257769	258432	COG0666	Ankyrin repeat (ANKYR) (PDB:6AUN)	K06867	uncharacterized protein
229	258540	259404	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)		
230	259915	260731	COG0810	Periplasmic protein TonB, links inner and outer membranes (TonB) (PDB:1IHR)	K03832	periplasmic protein TonB
231	260786	261512	COG0811	Biopolymer transport protein ExbB/TolQ (TolQ) (PDB:5SV0)	K03561	biopolymer transport protein ExbB
232	261513	261915	COG0848	Biopolymer transport protein ExbD (ExbD) (PDB:2JWK)	K03559	biopolymer transport protein ExbD
233	262337	262919	COG3545	Predicted esterase of the alpha/beta hydrolase fold (YdeN) (PDB:1UXO) (PUBMED:15159570)	K07002	serine hydrolase [EC:3.-.-.-]
234	262976	263909	COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains (AtoC) (PDB:1ZY2)	K11917	sigma-54 dependent transcriptional regulator
235	264196	264979	COG1464	ABC-type metal ion transport system, periplasmic component/surface antigen (NlpA) (PDB:1P99)	K02073	D-methionine transport system substrate-binding protein
236	265085	265193				
237	265450	266116	COG0765	ABC-type amino acid transport system, permease component (HisM) (PDB:4YMS)	K02029	polar amino acid transport system permease protein
238	266096	266756	COG0765	ABC-type amino acid transport system, permease component (HisM) (PDB:4YMS)	K02029	polar amino acid transport system permease protein
239	266752	267535	COG1126	ABC-type polar amino acid transport system, ATPase component (GlnQ) (PDB:4YMS)	K02028	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
240	267531	268416	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)	K02030	polar amino acid transport system substrate-binding protein
241	268545	269742	COG4637	Predicted ATPase		
242	270016	271111	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)	K21136	membrane fusion protein, multidrug efflux system
243	271107	272178	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein) (AcrA) (PDB:1T5E)	K21137	membrane fusion protein, multidrug efflux system
244	272174	275261	COG0841	Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)	K21134	multidrug efflux pump
245	275435	276062	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase (UbiG) (PDB:1BHJ)		
246	276214	276859	COG2011	ABC-type methionine transport system, permease component (MetP) (PDB:6CVL)	K02072	D-methionine transport system permease protein
247	276848	277973	COG1135	ABC-type methionine transport system, ATPase component (AbcC) (PDB:6CVL)	K02071	D-methionine transport system ATP-binding protein
248	277974	278784	COG1464	ABC-type metal ion transport system, periplasmic component/surface antigen (NlpA) (PDB:1P99)	K02073	D-methionine transport system substrate-binding protein
249	278896	280264	COG2141	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase) (SsuD) (PDB:1BRL)	K20938	long-chain alkane monooxygenase [EC:1.14.14.28]
250	280263	281463	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)		
251	281502	282744	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)		
252	283334	284096	COG1126	ABC-type polar amino acid transport system, ATPase component (GlnQ) (PDB:4YMS)	K10010, K02028	L-cystine transport system ATP-binding protein [EC:7.4.2.1], polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
253	284100	284766	COG0765	ABC-type amino acid transport system, permease component (HisM) (PDB:4YMS)	K10009, K02029	L-cystine transport system permease protein, polar amino acid transport system permease protein
254	284765	285563	COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain (HisJ) (PDB:1GGG)	K02030, K02424	polar amino acid transport system substrate-binding protein, L-cystine transport system substrate-binding protein
255	285836	286832	COG2515	1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase, PLP-dependent ACC family (Acd) (PDB:4D97)		
256	287021	287948	COG1045	Serine acetyltransferase (CysE) (PDB:1T3D)	K00640	serine O-acetyltransferase [EC:2.3.1.30]
257	288295	290296	COG1292	Choline-glycine betaine transporter (BetT) (PDB:2WIT)	K02168	choline/glycine/proline betaine transport protein
258	290305	290563				
259	290615	291356	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
260	291487	292378	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K18900	LysR family transcriptional regulator, regulator for bpeEF and oprC
261	292537	293584	COG1609	DNA-binding transcriptional regulator, LacI/PurR family (PurR) (PDB:1BDH)	K06145, K02529	LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor, LacI family transcriptional regulator
262	293789	296048	COG1629	Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)	K02014	iron complex outermembrane recepter protein
263	296191	297520	COG2141	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase) (SsuD) (PDB:1BRL)	K24116	N-acetyl-S-(2-succino)cysteine monooxygenase [EC:1.14.-.-]
264	297669	298707	COG0667	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family (PdxI) (PDB:1LQA) (PUBMED:32253339)	K19265	L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]
265	298802	299990	COG1566	Multidrug resistance efflux pump EmrA (EmrA) (PDB:4TKO)	K03543	membrane fusion protein, multidrug efflux system
266	300067	301663	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	K03446	MFS transporter, DHA2 family, multidrug resistance protein
267	301677	302724	COG4977	Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain (GlxA)		
268	303014	304877	COG0318	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming) (MenE/FadK) (PDB:5EY9) (PUBMED:25151136;27455459)		
269	304873	305782	COG1398	Fatty-acid desaturase (OLE1) (PDB:4YMK)	K00507	stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
270	305813	306770	COG1398	Fatty-acid desaturase (OLE1) (PDB:4YMK)	K00507	stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1]
271	306822	307143	COG0236	Acyl carrier protein (AcpP) (PDB:1ACP)		
272	307161	309141	COG2267!!!COG3239	Lysophospholipase, alpha-beta hydrolase superfamily (PldB) (PDB:5O7G)!!!Fatty acid desaturase (DesA)	K10255	acyl-lipid omega-6 desaturase (Delta-12 desaturase) [EC:1.14.19.23 1.14.19.45]
273	309178	309376	COG1773	Flavorubredoxin (NorV) (PDB:4D02)		
274	309413	310340	COG2267	Lysophospholipase, alpha-beta hydrolase superfamily (PldB) (PDB:5O7G)		
275	310336	311791	COG1249	Dihydrolipoamide dehydrogenase (E3) component of pyruvate/2-oxoglutarate dehydrogenase complex or glutathione oxidoreductase (Lpd) (PDB:6QKG)	K00382	dihydrolipoyl dehydrogenase [EC:1.8.1.4]
276	311848	312688	COG2175	Taurine dioxygenase, alpha-ketoglutarate-dependent (TauD) (PDB:1DRT)	K03119	taurine dioxygenase [EC:1.14.11.17]
277	312949	313789	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC)	K02050, K15552, K15554	NitT/TauT family transport system permease protein, taurine transport system permease protein, sulfonate transport system permease protein
278	313785	314580	COG4525	ABC-type taurine transport system, ATPase component (TauB)	K10831	taurine transport system ATP-binding protein [EC:7.6.2.7]
279	314607	315585	COG4521	ABC-type taurine transport system, periplasmic component (TauA) (PDB:6SSY)	K15551	taurine transport system substrate-binding protein
280	315754	317338	COG2918	Gamma-glutamylcysteine synthetase (GshA) (PDB:1V4G)	K01919	glutamate--cysteine ligase [EC:6.3.2.2]
281	317553	317937	COG2050	Acyl-CoA thioesterase PaaI, contains HGG motif (PaaI) (PDB:1PSU)	K02614	acyl-CoA thioesterase [EC:3.1.2.-]
282	317936	320261	COG2183	Transcriptional accessory protein Tex/SPT6 (Tex) (PDB:2OCE)	K06959	protein Tex
283	320620	321361	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)	K02483, K07659	two-component system, OmpR family, response regulator, two-component system, OmpR family, phosphate regulon response regulator OmpR
284	321466	322780	COG0642	Signal transduction histidine kinase (BaeS) (PDB:1JOY)	K07638	two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]
285	322855	323761	COG0189	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily (LysX) (PDB:1GLV)	K05844	ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]
286	323757	324240	COG4067	Uncharacterized conserved protein		
287	324256	325036	COG2200	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)	K21973	blue light- and temperature-responsive anti-repressor
288	325151	325556	COG1188	Ribosomal 50S subunit-recycling heat shock protein, contains S4 domain (HslR) (PDB:3BBU)	K04762	ribosome-associated heat shock protein Hsp15
289	325594	326407	COG2035	Uncharacterized membrane protein, DUF368 family		
290	326505	327408	COG1281	Redox-regulated molecular chaperone, HSP33 family (HslO) (PDB:1HW7)	K04083	molecular chaperone Hsp33
291	327587	329132	COG1866	Phosphoenolpyruvate carboxykinase, ATP-dependent (PckA) (PDB:1AQ2)	K01610	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
292	329247	330102	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)		
293	330142	330496	COG0236	Acyl carrier protein (AcpP) (PDB:1ACP)		
294	330729	331887	COG4676!!!COG5010	Uncharacterized conserved protein YfaP, DUF2135 family (YfaP)!!!Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)		
295	331954	333085	COG0726	Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family (CDA1) (PDB:1NY1)	K22278	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]
296	333253	335188	COG0514	Superfamily II DNA helicase RecQ (RecQ) (PDB:1OYW)		
297	335292	336519	COG1250	3-hydroxyacyl-CoA dehydrogenase (FadB) (PDB:5ZQZ)	K07516	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
298	336586	337021	COG0824	Acyl-CoA thioesterase FadM (FadM) (PDB:2FUJ)	K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]
299	337202	337676			K04062	osmotically inducible lipoprotein OsmB
300	337975	340324	COG0243	Anaerobic selenocysteine-containing dehydrogenase (BisC) (PDB:1EU1)		
301	340605	341493	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K04761	LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
302	341629	342070	COG1652	Cytoplasmic potassium-binding protein Kbp/XkdP/YgaU, contains LysM domain (XkdP) (PDB:5FIM) (PUBMED:27112601)		
303	342138	342801	COG1011	FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis) (YigB) (PDB:4JB3) (PUBMED:24123841)	K20881	GMP/IMP 5'-nucleotidase [EC:3.1.3.-]
304	343025	343592	COG1051	ADP-ribose pyrophosphatase YjhB, NUDIX family (YjhB) (PDB:3GZ5)	K08312	ADP-ribose diphosphatase [EC:3.6.1.-]
305	343603	344431	COG1218	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase (CysQ)	K01082	3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]
306	344572	345028	COG2050	Acyl-CoA thioesterase PaaI, contains HGG motif (PaaI) (PDB:1PSU)		
307	345065	346472	COG2204	DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains (AtoC) (PDB:1ZY2)	K10126	two-component system, NtrC family, C4-dicarboxylate transport response regulator DctD
308	346546	348355	COG4191	Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)	K10125	two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB [EC:2.7.13.3]
309	348389	349271	COG1091	dTDP-4-dehydrorhamnose reductase (RfbD) (PDB:1KBZ)	K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
310	349267	349456	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme (RfbC) (PDB:1DZR)		
311	349639	349828				
312	349785	350661	COG1209	dTDP-glucose pyrophosphorylase (RmlA1) (PDB:1FXO)	K00973	glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
313	350657	351740	COG1088	dTDP-D-glucose 4,6-dehydratase (RfbB) (PDB:1G1A)	K01710	dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]
314	351979	354898	COG0160!!!COG2334	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase (ArgD) (PDB:1SF2)!!!Ser/Thr protein kinase RdoA involved in Cpx stress response, MazF antagonist (SrkA) (PDB:1ZYL)	K18201	hydroxylysine kinase [EC:2.7.1.81]
315	355167	356046	COG0388	Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)	K12251	N-carbamoylputrescine amidase [EC:3.5.1.53]
316	356051	357158	COG2957	Agmatine/peptidylarginine deiminase (AguA) (PDB:1VKP)	K10536	agmatine deiminase [EC:3.5.3.12]
317	357402	357603				
318	357684	359784	COG4774	Outer membrane receptor for monomeric catechols (Fiu)	K02014	iron complex outermembrane recepter protein
319	360046	360742	COG3531	Predicted protein-disulfide isomerase, contains CxxC motif (PDB:5HFG) (PUBMED:24314029)	K07396	putative protein-disulfide isomerase
320	360769	361159	COG3631	Ketosteroid isomerase-related protein (YesE) (PDB:1Z1S)	K06893	uncharacterized protein
321	361397	362681			K18093	imipenem/basic amino acid-specific outer membrane pore [EC:3.4.21.-]
322	362887	363553				
323	363558	364254	COG0265!!!COG0457!!!COG4783!!!COG5010	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)!!!Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)!!!Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains (BepA) (PDB:6AIT) (PUBMED:24003122)!!!Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)		
324	364326	365448	COG4461	Lysozyme inhibitor LprI (LprI) (PUBMED:18369469;26589796)		
325	365472	365859	COG3474	Cytochrome c2 (Cyc7) (PDB:1YEA)	K08738	cytochrome c
326	365938	366733				
327	366746	367574	COG0671	Membrane-associated phospholipid phosphatase (PgpB) (PDB:1D2T)	K09474	acid phosphatase (class A) [EC:3.1.3.2]
328	367609	368461	COG3713	Outer membrane scaffolding protein for murein synthesis, MipA/OmpV family (OmpV)	K07274	MipA family protein
329	368674	369709	COG5361	Uncharacterized conserved protein (PDB:2P3Y)		
330	369870	370854	COG2207	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)		
331	371308	372265	COG0010	Arginase/agmatinase family enzyme (SpeB) (PDB:1CEV)	K18459, K01480	guanidinopropionase [EC:3.5.3.17], agmatinase [EC:3.5.3.11]
332	372294	373680	COG0591	Na+/proline symporter (PutP) (PDB:5NVA)	K03307	solute:Na+ symporter, SSS family
333	373878	374523				
334	374576	374798			K00126	formate dehydrogenase subunit delta [EC:1.17.1.9]
335	374794	377692	COG3383	Predicted molibdopterin-dependent oxidoreductase YjgC (YjgC) (PDB:1AA6)	K00123	formate dehydrogenase major subunit [EC:1.17.1.9]
336	377688	379248	COG1894	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F) (NuoF) (PDB:2FUG)	K00335	NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]
337	379247	379724	COG1905	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) (NuoE) (PDB:5XF9)	K00334	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]
338	380129	380945	COG1177	ABC-type spermidine/putrescine transport system, permease component II (PotC)	K02053	putative spermidine/putrescine transport system permease protein
339	380952	381789	COG1176	ABC-type spermidine/putrescine transport system, permease component I (PotB)	K02054	putative spermidine/putrescine transport system permease protein
340	381799	382912	COG0687	Spermidine/putrescine-binding periplasmic protein (PotD) (PDB:1POT)	K02055	putative spermidine/putrescine transport system substrate-binding protein
341	382997	384089	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component (PotA) (PDB:1Z47)		
342	384238	385156	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	K03566	LysR family transcriptional regulator, glycine cleavage system transcriptional activator
343	385439	387023	COG1473	Metal-dependent amidase/aminoacylase/carboxypeptidase (AbgB) (PDB:3RAM) (PUBMED:17307853)	K12941	aminobenzoyl-glutamate utilization protein B
344	387406	389038	COG0277!!!COG3979	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase (GlcD) (PDB:1AHU)!!!Chitodextrinase (PDB:1WVU)	K26080	N-acylhexosamine oxidase [EC:1.1.3.29]
345	389332	390544				
346	390593	391283	COG4160	ABC-type arginine/histidine transport system, permease component (ArtM)	K02029, K23057	polar amino acid transport system permease protein, putative lysine/arginine/ornithine/histidine/octopine transport system permease protein
347	391282	391975	COG4215	ABC-type arginine transport system, permease component (ArtQ)	K02029, K23056	polar amino acid transport system permease protein, putative lysine/arginine/ornithine/histidine/octopine transport system permease protein
